Title,Key,Genre,Tags,Languages,Series or Movie,Hidden Gem Score,View Rating,IMDb Score,Rotten Tomatoes Score,Metacritic Score,Release Date
Universal Soldier: Day of Reckoning,8875,"Action, Horror, Mystery, Sci-Fi, Thriller","Sci-Fi & Fantasy,Action Sci-Fi & Fantasy,Military Action & Adventure,Action & Adventure",English,Movie,2.7,R,5.0,56.0,58.0,2012-10-25
Unknown,8876,"Action, Mystery, Thriller","Thrillers,Mysteries,Psychological Thrillers,Action & Adventure,Crime Films,Crime Action & Adventure,Films Based on Books,Action Thrillers,Crime Action","English, German, Turkish, Arabic",Movie,3.0,PG-13,6.8,55.0,56.0,2011-02-18
Unlocked,8877,"Action, Thriller","Action Thrillers,Crime Action & Adventure,Crime Films,Action & Adventure,Crime Action","English, Arabic, German",Movie,2.2,R,6.3,26.0,46.0,2017-05-05
Unstoppable,8885,"Action, Thriller","Latin American TV Shows,TV Dramas,Mexican TV Shows",English,Series,3.7,PG-13,6.8,87.0,69.0,2010-11-12
Unstoppable,8887,"Action, Thriller","Action Thrillers,Action & Adventure,US Movies",English,Movie,3.7,PG-13,6.8,87.0,69.0,2010-11-12
Untouchable,8890,"Documentary, Biography","Crime Movies,Crime Documentaries,True Crime Documentaries,US Movies,Documentary Films",English,Movie,7.7,Not Rated,6.7,87.0,71.0,2019-09-02
Untraceable,8891,"Crime, Mystery, Thriller","Thrillers,Police Thrillers,Police Movies,Crime Thrillers,Psychological Thrillers,Crime Films",English,Movie,1.8,R,6.2,16.0,32.0,2008-01-25
Up and Down,8892,"Comedy, Drama","Czech Movies,Comedies,Dramas","Czech, English, German, Russian",Movie,7.9,R,6.9,83.0,78.0,2004-09-16
Up in the Air,8893,"Comedy, Drama, Romance","Dramas,Romantic Dramas,Romantic Favourites,Romantic Comedies,Dramas based on a book,Comedies,Romantic Films,Dramas based on contemporary literature,Movies Based on Books,US Movies",English,Movie,4.1,R,7.4,90.0,83.0,2009-12-23
Upgrade,8895,"Action, Sci-Fi, Thriller","Action & Adventure,Australian Movies,Cyberpunk,Action Sci-Fi & Fantasy,Sci-Fi & Fantasy,Crime Action & Adventure,Action Thrillers,Sci-Fi Thrillers,Crime Movies,Futuristic Sci-Fi","English, Dutch",Movie,3.8,R,7.5,88.0,67.0,2018-06-01
Urban Legend,8900,"Horror, Mystery, Thriller","Slasher and Serial Killer Films,Teen Screams,Horror Films",English,Movie,1.9,R,5.6,21.0,35.0,1998-09-25
Us,8905,"Horror, Mystery, Thriller","Horror Movies,US Movies",English,Movie,4.0,R,6.8,93.0,81.0,2019-03-22
USS Indianapolis: Men of Courage,8914,"Action, Drama, History, Thriller, War","Action & Adventure,Military Action & Adventure,20th Century Period Pieces,Movies Based on Real Life","English, Japanese",Movie,1.7,R,5.3,17.0,30.0,2016-10-14
UWantMe2KillHim?,8915,"Drama, Thriller","Crime Films,British Films,Thrillers,British Thrillers,British Crime Films,Crime Thrillers,Mysteries,Psychological Thrillers",English,Movie,6.5,Not Rated,6.3,67.0,42.0,2015-04-23
V for Vendetta,8917,"Action, Drama, Sci-Fi, Thriller","Sci-Fi & Fantasy,Action Sci-Fi & Fantasy,Action,Action Thrillers,Sci-Fi Thrillers,Action & Adventure,Sci-Fi Dramas,Social Issue Dramas,Dramas,Political Dramas,Visually-striking Sci-Fi & Fantasy,Futuristic Sci-Fi,Sci-Fi,US Movies",English,Movie,3.6,R,8.2,73.0,62.0,2006-03-17
Vacancy,8919,"Horror, Thriller",Horror Films,English,Movie,2.9,R,6.2,55.0,54.0,2007-04-20
Vacation,8920,"Adventure, Comedy","Adventures,International Comedies,International Movies,Comedies,US Movies,International Action & Adventure,Action & Adventure,Late Night Comedies",English,Movie,2.0,R,6.1,27.0,34.0,2015-07-29
Valentines Day,8923,"Comedy, Romance","Romantic Comedies,Comedies,Romantic Films,Romantic Favourites,Comedy Blockbusters,US Movies","English, Spanish, Russian, Italian",Movie,1.8,PG-13,5.7,18.0,34.0,2010-02-12
