Title,Key,Genre,Tags,Languages,Series or Movie,Hidden Gem Score,View Rating,IMDb Score,Rotten Tomatoes Score,Metacritic Score,Release Date
Sabotage,6203,"Action, Crime, Drama, Thriller","Dramas,Action Thrillers,Action & Adventure,Crime Action & Adventure,Crime Dramas,Crime Movies,Heist Movies,Crime Action,Action Movies","English, Spanish",Movie,2.0,R,5.7,22.0,41.0,2014-03-28
Sabrina,6204,"Comedy, Drama, Romance","Romantic Comedies,Comedies,Romantic Films,Romantic Favorites,US Movies","English, French",Movie,3.1,PG,6.3,65.0,56.0,1995-12-15
Safe,6209,"Action, Crime, Thriller","Action Thrillers,Action & Adventure,Crime Action & Adventure,Crime Movies,Heist Movies","English, Mandarin, Russian",Movie,3.0,R,6.5,58.0,55.0,2012-04-27
Safe Haven,6210,"Drama, Romance, Thriller","Dramas,Romantic Dramas,Dramas based on a book,Tearjerkers,Romantic Films,Films Based on Books,Romantic Favourites,US Movies","English, Portuguese",Movie,1.9,PG-13,6.7,13.0,34.0,2013-02-14
Safe House,6211,"Action, Thriller","Crime Action & Adventure,Action & Adventure,Action Thrillers,Crime Movies,Action,Spy Action & Adventure,US Movies,Crime Action","English, Afrikaans",Movie,2.9,R,6.7,53.0,52.0,2012-02-10
Safety Not Guaranteed,6212,"Comedy, Drama, Romance","Independent Films,Romantic Independent Films,Romantic Comedies,Independent Comedies,Comedies,Romantic Films,Quirky Romance",English,Movie,3.9,R,7.0,91.0,72.0,2012-06-15
Sahara,6215,"Action, Adventure, Comedy","Action Thrillers,Action & Adventure,Adventures,Comedies,Movies Based on Books,Action Comedies","English, French, Arabic",Movie,2.3,PG-13,6.0,38.0,41.0,2005-04-08
Salt,6235,"Action, Thriller","Action Thrillers,Action & Adventure,Action Movies,Spy Action & Adventure","English, Russian, Korean",Movie,3.2,PG-13,6.4,62.0,65.0,2010-07-23
Same Kind of Different as Me,6241,"Biography, Drama","Dramas based on Real Life,Social Issue Dramas,Dramas,Dramas based on Books,Films Based on Real Life,Films Based on Books,Faith & Spirituality,Faith & Spirituality Films",English,Movie,4.3,PG-13,6.6,40.0,47.0,2017-10-20
Sample This,6243,"Documentary, Music","Critically-acclaimed Documentaries,Music & Musicals,Documentaries,Social & Cultural Documentaries,Music & Concert Documentaries,Rap & Hip-Hop,Documentaries,Music and Concert Movies",English,Movie,8.5,Not Rated,6.4,93.0,64.0,2013-09-13
San Andreas,6248,"Action, Adventure, Thriller","Action & Adventure,Action",English,Movie,2.5,PG-13,6.1,49.0,43.0,2015-05-29
Sanctum,6249,"Action, Adventure, Drama, Thriller","Action Thrillers,Action & Adventure,Adventures",English,Movie,2.2,R,5.9,30.0,42.0,2011-02-04
Sand Castle,6250,"Action, Drama, War","Military Action & Adventure,Dramas,Independent Films,Dramas based on real life,Independent Action & Adventure,Action & Adventure,Military Dramas,Independent Dramas","English, Arabic",Movie,2.6,TV-MA,6.3,47.0,45.0,2017-04-21
Sandy Wexler,6253,Comedy,Comedies,English,Movie,2.0,TV-14,5.2,27.0,40.0,2017-04-14
Sarahs Key,6264,"Drama, War","Dramas,International Dramas,International Movies,Dramas based on a book,French Films,Tearjerkers,Dramas based on contemporary literature,Movies Based on Books,Movies Based on Books","French, English, Italian, German, Yiddish",Movie,3.4,PG-13,7.5,72.0,59.0,2011-07-22
Saturday Night Fever,6275,"Drama, Music","Dramas,Classic Dramas,Classic Movies,US Movies","English, Italian",Movie,3.8,R,6.8,82.0,77.0,1977-12-16
Sausage Party,6276,"Animation, Adventure, Comedy, Fantasy","Dark Comedies,Adult Animation,Comedies,Action & Adventure,Late Night Comedies,Adventures,Comedy Blockbusters,US Movies",English,Movie,3.5,R,6.1,82.0,66.0,2016-08-12
Savages,6277,"Crime, Thriller","Thrillers,Gangster Films,Police Thrillers,Police Movies,Crime Thrillers,Dramas,Crime Movies,Crime Dramas,Movies Based on Books,US Movies,Thrillers based on Books","English, Spanish",Movie,2.9,R,6.5,50.0,59.0,2012-07-06
Save the Green Planet!,6279,"Comedy, Sci-Fi, Thriller","Korean Comedies,Korean Thrillers,Blue Dragon Film Award-winning Movies,Korean Movies,Thrillers,Sci-Fi Thrillers,Sci-Fi & Fantasy,Alien Sci-Fi,Dark Comedies,Comedies,Award-winning Movies",Korean,Movie,5.1,Not Rated,7.3,90.0,70.0,2003-04-04
Save the Last Dance,6280,"Drama, Music, Romance","Dramas,Romantic Dramas,Romantic Favourites,Teen Dramas,Romantic Films,African-American Dramas,Teen Movies,US Movies",English,Movie,3.3,PG-13,6.2,83.0,53.0,2001-01-12
Saving Private Perez,6283,"Adventure, Comedy, Western","Mexican Films,Mexican Comedies,Latin American Films,Action Comedies,Comedies,Action & Adventure",Spanish,Movie,7.1,PG-13,5.9,68.0,56.0,2011-09-02
Saving Private Ryan,6284,"Drama, War","Award-winning Movies,Academy Award-Winning Films,BAFTA Award-Winning Films,Golden Globe Award-winning Films,Action & Adventure,Military Dramas,Military Action & Adventure,Dramas,Tearjerkers,Blockbuster Action & Adventure,US Movies","English, French, German, Czech",Movie,4.5,R,8.6,93.0,91.0,1998-07-24
Saw II,6286,"Horror, Mystery","Horror Films,Slasher and Serial Killer Films",English,Movie,2.4,R,6.6,36.0,40.0,2005-10-28
Saw III,6287,"Crime, Horror, Mystery, Thriller","Horror Films,Slasher and Serial Killer Films",English,Movie,2.3,R,6.2,28.0,48.0,2006-10-27
Saw VI,6288,"Horror, Mystery, Thriller","Horror Films,Slasher and Serial Killer Films",English,Movie,2.1,R,6.0,39.0,30.0,2009-10-23
Scarecrow,6295,Drama,"Crime Comedies,Crime Movies,Middle Eastern Movies,Comedies,Heist Movies,Egyptian Movies,International Comedies",English,Movie,3.7,R,7.3,75.0,72.0,1973-04-11
Scarface,6296,"Crime, Drama","Gangster Films,Action Thrillers,Police Action & Adventure,Action & Adventure,Police Movies,Crime Action & Adventure,Dramas,Crime Films,Crime Dramas,Thrillers,Crime Thrillers,Classic Dramas,Classic Films,Classic Thrillers,US Movies,Classic International Movies,Critically Acclaimed Films,Critically Acclaimed Dramas,Modern Classics","English, Spanish",Movie,3.8,R,8.3,82.0,65.0,1983-12-09
Scary Movie,6298,Comedy,"Horror Films,Spoofs & Satires,Teen Screams,Comedies,Gory Horror Films,Horror Comedy,Laugh-Out-Loud Comedies,US Movies",English,Movie,2.7,R,6.2,52.0,48.0,2000-07-07
Scary Movie 2,6299,"Comedy, Horror","Horror Films,Spoofs & Satires,Teen Screams,Comedies,Horror Comedy,Laugh-Out-Loud Comedies,US Movies",English,Movie,1.6,R,5.3,15.0,29.0,2001-07-04
Scary Movie 3,6300,"Comedy, Horror","Horror Films,Spoofs & Satires,Supernatural Horror Films,Comedies,Dark Comedies,Horror Comedy,Slapstick Comedies,Laugh-Out-Loud Comedies,US Movies",English,Movie,2.3,PG-13,5.5,35.0,49.0,2003-10-24
Scary Movie 4,6301,"Comedy, Horror","Spoofs & Satires,Comedies","English, Japanese",Movie,2.1,PG-13,5.1,35.0,40.0,2006-04-14
Scary Movie 5,6302,"Comedy, Horror","Spoofs & Satires,Comedies,Horror Movies,Supernatural Horror Movies,Horror Comedies,Laugh-Out-Loud Comedies,US Movies,Late Night Comedies,Late Night Comedies","English, Spanish, Latin",Movie,0.8,PG-13,3.5,4.0,11.0,2013-04-12
Scary Stories to Tell in the Dark,6303,"Adventure, Horror, Mystery","Horror Movies,Movies Based on Books,Supernatural Horror Movies,Teen Screams",English,Movie,3.3,PG-13,6.2,77.0,61.0,2019-08-09
Scent of a Woman,6304,Drama,"Dramas,Dramas based on a book,Dramas based on contemporary literature,Films Based on Books,Classic Dramas,Classic Films,US Movies,Classic International Movies",English,Movie,3.8,R,8.0,89.0,59.0,1993-01-08
Schindlers List,6306,"Biography, Drama, History","Dramas,Military Dramas,20th Century Period Pieces,Dramas based on a book,Biographical Dramas,Tearjerkers,Dramas based on real life,Dramas based on contemporary literature,Movies Based on Real Life,Movies Based on Books,Classic Dramas,Classic Movies,Classic War Films,Critically Acclaimed Films,Critically Acclaimed Dramas,Oscar-Winning Films,Modern Classics,Golden Globe Award-Winning Films,US Movies,Classic International Movies,Award-winning Dramas,Historical Dramas","English, Hebrew, German, Polish, Latin",Movie,4.7,R,8.9,97.0,94.0,1994-02-04
School Daze,6309,"Comedy, Drama, Musical","Comedies,Dramas",English,Movie,4.5,R,6.0,56.0,52.0,1988-02-12
School of Rock,6311,"Comedy, Music","Comedies,Music & Musicals,Laugh-Out-Loud Comedies,Critically Acclaimed Films,Critically Acclaimed Comedies,Family Cozy Time,US Movies",English,Movie,4.1,PG-13,7.1,91.0,82.0,2003-10-03
Scooby-Doo,6318,"Adventure, Comedy, Family, Fantasy, Mystery","Family Features,Family Comedies,Family Adventures,Children & Family Films,Comedies,Teen Comedies,Sci-Fi & Fantasy,Adventures,Fantasy,Mysteries,Slapstick Comedies,Family Sci-Fi & Fantasy,Action & Adventure,Blockbuster Action & Adventure,US Movies",English,Movie,1.9,PG,5.1,31.0,35.0,2002-06-14
Scooby-Doo 2: Monsters Unleashed,6319,"Adventure, Comedy, Family, Fantasy, Horror, Mystery, Sci-Fi","Family Comedies,Family Sci-Fi & Fantasy,Family Adventures,Children & Family Films,Films for ages 8 to 10,Comedies,Mysteries,Slapstick Comedies,US Movies,Family Features",English,Movie,1.8,PG,5.1,22.0,34.0,2004-03-26
Scoop,6321,"Comedy, Crime, Fantasy, Mystery","Independent Films,Romantic Comedies,Independent Comedies,Comedies,Romantic Films,British Movies",English,Movie,2.6,PG-13,6.6,41.0,48.0,2006-07-28
Scott Pilgrim vs. the World,6323,"Action, Comedy, Fantasy, Romance","Action,Comedies,Martial Arts Films,Action Comedies,Action & Adventure,Teen Films,US Movies,Laugh-Out-Loud Comedies",English,Movie,3.8,PG-13,7.5,82.0,69.0,2010-08-13
Scouts vs. Zombies,6324,"Action, Comedy, Horror","Comedies,Horror Films,Zombie Horror Films,Teen Screams,Dark Comedies,Horror Comedies,Laugh-Out-Loud Comedies,Gory Horror Movies,US Movies",English,Movie,2.3,R,6.3,44.0,32.0,2015-10-30
Scream 4,6326,"Horror, Mystery","Horror Films,Slasher and Serial Killer Films,Crime Movies,Gory Horror Movies",English,Movie,2.9,R,6.1,60.0,52.0,2011-04-15
Scums Wish,6331,"Crime, Drama","Anime Series,Japanese TV Shows,Romance Anime,Seinen Anime,TV Shows Based on Manga,TV Shows Based on Comics",English,Series,4.1,R,7.6,89.0,78.0,1979-09-28
Sea Fog,6333,"Drama, Thriller","Thrillers,Dramas",Korean,Movie,7.0,Not Rated,6.9,77.0,61.0,2014-08-13
Sea of Love,6334,"Crime, Drama, Mystery, Romance, Thriller","Mysteries,Crime Movies,Crime Thrillers,Thrillers",English,Movie,3.5,R,6.8,76.0,66.0,1989-09-15
Searching,6337,"Drama, Mystery, Thriller","Thrillers,Mysteries,US Movies,Dramas,Critically Acclaimed Films,Critically Acclaimed Dramas",English,Movie,4.0,PG-13,7.6,92.0,71.0,2018-08-31
Season of the Witch,6338,"Action, Adventure, Fantasy","Sci-Fi & Fantasy,Action Sci-Fi & Fantasy,Fantasy,Action Thrillers,Period Pieces,Action & Adventure","English, Latin",Movie,1.6,PG-13,5.4,11.0,28.0,2011-01-07
Second Act,6345,"Comedy, Drama, Romance","Romantic Comedies,Comedies,Romantic Movies,US Movies,Romantic Favorites","English, Mandarin",Movie,2.5,PG-13,5.8,44.0,46.0,2018-12-21
Secret in Their Eyes,6353,"Crime, Drama, Mystery, Thriller","Police Mysteries,Mysteries,Police Thrillers,Crime Thrillers,Dramas,Police Movies,Crime Dramas,Police Dramas,Thrillers,Psychological Thrillers,Crime Movies,Movies Based on Books",English,Movie,2.5,PG-13,6.3,39.0,45.0,2015-11-20
Secret Sunshine,6356,Drama,"Korean Drama Movies,Dramas,Korean Movies,Blue Dragon Film Award-winning Movies,Award-winning Movies,Dramas based on Books,Baeksang Arts Awards Winners",Korean,Movie,5.7,Not Rated,7.5,94.0,84.0,2010-12-22
Secret Window,6359,"Drama, Mystery, Thriller","Thrillers,Crime Thrillers,Psychological Thrillers,Crime Movies,Movies Based on Books",English,Movie,2.6,PG-13,6.6,46.0,46.0,2004-03-12
Secretary,6360,"Comedy, Drama, Romance","Independent Films,Award-winning Movies,Dark Comedies,Romantic Dramas,Romantic Comedies,Dramas,Comedies,Romantic Movies,Movies Based on Books,Romantic Independent Movies",English,Movie,3.5,R,7.0,76.0,63.0,2002-10-11
"See No Evil, Hear No Evil",6366,"Comedy, Crime","Action Comedies,Police Action & Adventure,Comedies,Action & Adventure,Police Movies,Crime Action & Adventure,Late Night Comedies,Crime Comedies,Crime Films",English,Movie,2.4,R,6.9,28.0,44.0,1989-05-12
See You Yesterday,6368,"Action, Adventure, Crime, Drama, Sci-Fi, Thriller","Thrillers,Teen Sci-Fi,Dramas,Sci-Fi Thrillers,Sci-Fi Dramas,Sci-Fi & Fantasy,Teen Movies",English,Movie,4.0,TV-MA,5.2,95.0,74.0,2019-05-17
Seed of Chucky,6369,"Comedy, Fantasy, Horror, Thriller","Horror Films,Slasher and Serial Killer Films,Supernatural Horror Films,Cult Horror Films,US Movies,Cult Films","English, Japanese",Movie,2.1,R,4.8,34.0,46.0,2004-11-12
Seeing Allred,6370,Documentary,"Documentaries,Social & Cultural Documentaries",English,Movie,8.4,TV-14,6.9,100.0,68.0,2018-02-09
Selena,6376,"Biography, Drama, Music","Dramas,Biographical Dramas,Dramas based on real life,Dramas,Biographical Dramas,Dramas based on real life,Films Based on Real Life,Showbiz Dramas,US Movies,Music & Musicals,Tearjerkers","English, Spanish",Movie,3.3,PG,6.8,65.0,67.0,1997-03-21
Selma,6379,"Biography, Drama, History","Dramas,Biographical Dramas,Dramas based on real life,Films Based on Real Life,Social Issue Dramas",English,Movie,4.2,PG-13,7.5,99.0,80.0,2015-01-09
Semi-Pro,6381,"Comedy, Sport",Comedies,English,Movie,2.1,R,5.8,22.0,47.0,2008-02-29
Senna,6382,"Documentary, Biography, Sport","Sports Documentaries,Sports & Fitness,British Films,Biographical Documentaries,Sports Films,Documentaries,Documentary Films","English, Portuguese, French, Japanese",Movie,4.3,PG-13,8.5,93.0,79.0,2011-05-25
Sense and Sensibility,6384,"Drama, Romance","Dramas,Dramas based on a book,Dramas based on classic literature,Romantic Dramas,Romantic Favourites,Period Pieces,Romantic Films,British Dramas,Social Issue Dramas,Films Based on Books,Romantic British Films,British Films,British Period Pieces,Critically Acclaimed Films,Critically Acclaimed Dramas,Oscar-Winning Films,Modern Classics,Golden Globe Award-Winning Films,Historical Dramas","English, French",Movie,4.3,PG,7.6,97.0,84.0,1996-01-26
Seoul Searching,6388,"Comedy, Drama, Music, Romance","Comedies,Dramas,International Films,Romantic Films,Romantic Comedies,Romantic Dramas,Dramas based on real life","English, Korean, German",Movie,7.8,TV-MA,7.0,75.0,63.0,2017-12-15
Serena,6393,"Drama, History, Romance","Dramas,Romantic Dramas,Dramas based on a book,Romantic Films,Films Based on Books,Period Pieces,Romantic Favourites",English,Movie,1.8,R,5.4,16.0,36.0,2015-02-26
Serendipity,6394,"Comedy, Romance","Romantic Comedies,Comedies,Romantic Films","English, French",Movie,3.0,PG-13,6.9,58.0,52.0,2001-10-05
Serenity,6395,"Drama, Mystery, Thriller","US Movies,Crime Thrillers,Thrillers,Crime Movies","English, French",Movie,1.9,R,5.4,20.0,37.0,2019-01-25
Serenity,6396,"Action, Adventure, Sci-Fi, Thriller","Sci-Fi & Fantasy,Action Sci-Fi & Fantasy,Action & Adventure,Adventures,Sci-Fi Adventure,Futuristic Sci-Fi,US Movies","English, Mandarin",Movie,3.9,PG-13,7.8,82.0,74.0,2005-09-30
Set It Up,6402,"Comedy, Romance","Romantic Comedies,Comedies,Romantic Movies",English,Movie,3.6,TV-14,6.5,92.0,62.0,2018-06-15
Seven,6408,"Crime, Drama, Mystery, Thriller","Police Mysteries,Thrillers,Film Noir,Police Thrillers,Police Movies,Crime Thrillers,Mysteries,Psychological Thrillers,Crime Films,US Movies",English,Movie,3.9,R,8.6,83.0,65.0,1995-09-22
Seven Pounds,6409,Drama,"Dramas,Romantic Dramas,Tearjerkers,Romantic Films,Romantic Favorites,Award-winning Dramas","English, Spanish",Movie,2.3,PG-13,7.6,27.0,36.0,2008-12-19
Seven Psychopaths,6410,"Comedy, Crime","Gangster Films,Action Comedies,Police Action & Adventure,Comedies,Action & Adventure,Police Movies,Crime Action & Adventure,Dark Comedies,British Comedies,British Action & Adventure,Crime Comedies,Crime Films,British Crime Films,British Films","English, Vietnamese",Movie,3.7,R,7.2,83.0,66.0,2012-10-12
Seven Years in Tibet,6415,"Adventure, Biography, Drama, History, War","Dramas,20th Century Period Pieces,Faith & Spirituality,Biographical Dramas,Faith & Spirituality Films,Adventures,Action & Adventure,Dramas based on real life,Movies Based on Real Life,US Movies,Historical Dramas","English, German, Mandarin, Tibetan, Hindi",Movie,3.1,PG-13,7.1,60.0,55.0,1997-10-10
Seventh Son,6417,"Action, Adventure, Fantasy","Sci-Fi & Fantasy,Adventures,Fantasy,Action & Adventure,Action Sci-Fi & Fantasy,Films Based on Books",English,Movie,1.6,PG-13,5.5,12.0,30.0,2015-02-06
Sex and the City 2,6418,"Comedy, Drama, Romance","Romantic Favourites,Romantic Comedies,Comedies,Romantic Films,Films Based on Books,US Movies","English, Arabic",Movie,1.5,R,4.5,16.0,27.0,2010-05-27
Sex and the City: The Movie,6419,"Comedy, Drama, Romance","Steamy Romantic Films,Romantic Favourites,Romantic Comedies,Comedies,Romantic Films,Romantic Dramas,Dramas,Films Based on Books,Steamy Romance",English,Movie,2.6,R,5.6,49.0,53.0,2008-05-30
Sex Drive,6420,"Comedy, Romance","Comedies,Late Night Comedies,Teen Movies,Movies Based on Books",English,Movie,2.7,R,6.5,46.0,49.0,2008-10-17
Sex Tape,6422,"Comedy, Romance","Comedies,Late Night Comedies","English, Ukrainian",Movie,1.7,R,5.1,16.0,36.0,2014-07-18
"sex, lies, and videotape",6424,Drama,"Independent Dramas,Dramas,Independent Films,Classic Dramas,Classic Movies",English,Movie,4.2,R,7.2,96.0,86.0,1989-09-22
Sgt. Stubby: An American Hero,6425,"Animation, Adventure, Family, History, War","Movies based on real life,Biographical Movies,Children & Family Movies,US Movies,Animal Tales","English, French, German",Movie,7.6,PG,6.9,89.0,58.0,2018-04-13
Shadow,6426,"Action, Adventure, Drama, Fantasy, History, War","Movies Based on Books,International Dramas,Chinese Movies,Military Dramas,Asian Action Movies,Martial Arts Movies,Military Action & Adventure,Dramas,Action & Adventure,International Action & Adventure,Period Pieces",Mandarin,Movie,4.1,Not Rated,7.0,94.0,81.0,2018-09-30
Shaft,6429,"Action, Comedy, Crime","Comedies,Action & Adventure,Crime Comedies,Crime Action & Adventure,Action Thrillers,Action Comedies,Crime Movies,US Movies,Action Movies",English,Movie,2.3,R,6.4,33.0,40.0,2019-06-14
Shaft,6430,"Action, Crime, Thriller","Action Thrillers,Action & Adventure,Crime Action & Adventure,Police Action & Adventure,Police Movies,Crime Films,US Movies","English, German, Spanish",Movie,2.9,R,5.9,67.0,50.0,2000-06-16
Shall We Dance?,6432,"Comedy, Drama, Music, Romance","Japanese Films,Dramas,Romantic Dramas,International Dramas,Romantic Favourites,International Movies,Romantic Comedies,International Comedies,Comedies,Romantic Films",Japanese,Movie,3.9,PG,7.6,91.0,68.0,1997-07-11
Shallow Hal,6433,"Comedy, Drama, Fantasy, Romance","Romantic Comedies,Comedies,Romantic Films,Romantic Favorites,Comedy Blockbusters,US Movies",English,Movie,2.6,PG-13,5.9,49.0,48.0,2001-11-09
Shame,6434,Drama,"Independent Dramas,Dramas,Independent Films,British Movies",English,Movie,3.7,NC-17,7.2,79.0,72.0,2012-01-13
Shaolin,6438,"Action, Drama","International Movies,Action Thrillers,Chinese Films,International Action & Adventure,Asian Movies,Martial Arts Films,Action & Adventure,Hong Kong Movies","Mandarin, Cantonese",Movie,3.3,R,6.9,74.0,53.0,2011-01-27
Shark Tale,6440,"Animation, Adventure, Comedy, Family, Fantasy","Family Features,Animal Tales,Family Feature Animation,Family Comedies,Family Adventures,Children & Family Films,Films for ages 8 to 10,Comedies",English,Movie,2.4,PG,6.0,36.0,48.0,2004-10-01
Shaun of the Dead,6443,"Comedy, Horror","Horror Films,International Movies,British Films,Comedies,Gory Horror Movies,Horror Comedies",English,Movie,4.1,R,7.9,92.0,76.0,2004-09-24
Shaun the Sheep Movie,6445,"Animation, Adventure, Comedy, Family, Fantasy","Family Adventures,Family Features,Family Comedies,Children & Family Films,Comedies,Animal Tales,British Films,Family Feature Animation","None, English",Movie,4.2,PG,7.3,99.0,81.0,2015-08-05
Shazam!,6449,"Action, Adventure, Comedy, Fantasy","Action Comedies,Family Comedies,Action & Adventure,Comedies,Children & Family Movies,Family Features","English, Spanish",Movie,3.9,PG-13,7.0,90.0,71.0,2019-04-05
Sheikh Jackson,6455,Drama,"Dramas,Middle Eastern Movies,Egyptian Movies",Arabic,Movie,7.2,Not Rated,7.0,75.0,63.0,2017-10-04
Sherlock Holmes,6461,"Action, Adventure, Mystery","Award-winning Movies,Action Thrillers,Action Comedies,Comedies,Golden Globe Award-winning Films,Action & Adventure,Movies Based on Books,Crime Action & Adventure,Mysteries,Action Movies,Crime Films,Blockbuster Action & Adventure,US Movies,Crime Action","English, French",Movie,3.4,PG-13,7.6,69.0,57.0,2009-12-25
Sherlock Holmes: A Game of Shadows,6462,"Action, Adventure, Mystery","Action,Action Thrillers,Blockbuster Movies,Comedies,Action & Adventure,Crime Action & Adventure,Action Comedies,Mysteries,Movies Based on Books,Crime Comedies,Crime Films,Blockbuster Action & Adventure,US Movies,Crime Action","English, French, Italian, German, Romany",Movie,3.0,PG-13,7.5,59.0,48.0,2011-12-16
Shes All That,6465,"Comedy, Romance","Comedies,Teen Comedies,Romantic Films,Romantic Comedies,Teen Movies",English,Movie,2.5,PG-13,5.9,40.0,51.0,1999-01-29
Shes Funny That Way,6467,"Comedy, Drama","Romantic Movies,Romantic Comedies,Comedies,Independent Movies,Romantic Independent Movies,Independent Comedies,Dark Comedies,US Movies",English,Movie,2.5,R,6.1,44.0,45.0,2015-08-21
Shes Gotta Have It,6469,"Comedy, Romance","Comedies,Independent Films,Romantic Comedies,Independent Comedies,Romantic Independent Films,Romantic Films",English,Movie,4.0,R,6.8,91.0,79.0,1986-08-08
Shes Out of My League,6470,"Comedy, Romance","Romantic Comedies,Comedies,Romantic Films,Late Night Comedies,Romantic Favorites,Raunchy Comedies,Buddy Comedies,US Movies","English, Ukrainian",Movie,2.8,R,6.4,58.0,46.0,2010-03-12
Shes the Man,6471,"Comedy, Romance, Sport","Romantic Comedies,Comedies,Romantic Films,Teen Movies",English,Movie,2.5,PG-13,6.3,43.0,45.0,2006-03-17
Shinjuku Incident,6483,"Action, Crime, Drama","Crime Films,Crime Dramas,Dramas,Asian Action Films,Chinese Films,Action Thrillers,Action & Adventure,Gangster Films,Crime Action & Adventure,International Movies,Hong Kong Films,International Action & Adventure,International Dramas","Mandarin, Japanese, Cantonese, English, Min Nan, Hokkien",Movie,3.2,R,7.0,60.0,63.0,2009-04-02
Shirkers,6484,Documentary,"Documentaries,Biographical Documentaries,Award-winning Movies,Critically-acclaimed Documentaries",English,Movie,7.1,TV-14,7.4,100.0,88.0,2018-10-26
Shivers,6487,"Horror, Sci-Fi","Sci-Fi & Fantasy,Horror Movies,Canadian Movies,Sci-Fi","English, French",Movie,3.4,R,6.4,85.0,58.0,1976-07-06
Shoot Em Up,6490,"Action, Thriller","Action Thrillers,Police Action & Adventure,Action & Adventure,Crime Action & Adventure,Police Movies","English, Italian",Movie,3.0,R,6.7,67.0,49.0,2007-09-07
Shooter,6492,"Action, Drama, Thriller","Action Thrillers,Action & Adventure,Crime Action & Adventure,Mysteries,Crime Films,Films Based on Books,Action,Crime Action",English,Movie,2.9,R,7.2,47.0,53.0,2007-03-23
Shorts,6496,"Adventure, Comedy, Family, Fantasy, Horror, Romance, Sci-Fi","Family Comedies,Family Sci-Fi & Fantasy,Family Adventures,Children & Family Films,Films for ages 8 to 10,Comedies",English,Movie,4.0,PG,4.7,47.0,53.0,2009-08-21
Shot caller,6497,"Crime, Drama, Thriller","Crime Thrillers,Crime Dramas,Dramas,Thrillers,Crime Movies,Police Thrillers,Police Movies,Police Dramas",English,Movie,3.3,R,7.3,69.0,59.0,2017-08-18
Shrek Forever After,6499,"Animation, Adventure, Comedy, Family, Fantasy, Romance","Family Features,Family Feature Animation,Family Comedies,Family Sci-Fi & Fantasy,Family Adventures,Children & Family Films,Films for ages 8 to 10,Films based on childrens books,Films for ages 5 to 7,Comedies,Movies Based on Books",English,Movie,3.0,PG,6.3,58.0,58.0,2010-05-21
Shrek the Third,6501,"Animation, Adventure, Comedy, Family, Fantasy","Family Features,Family Feature Animation,Family Comedies,Family Sci-Fi & Fantasy,Family Adventures,Children & Family Films,Films for ages 8 to 10,Films based on childrens books,Films for ages 5 to 7,Comedies,Movies Based on Books",English,Movie,2.7,PG,6.1,42.0,58.0,2007-05-18
Shut In,6505,"Drama, Horror, Mystery, Thriller","Dramas,Psychological Thrillers,Thrillers",English,Movie,1.3,PG-13,4.8,7.0,25.0,2016-11-11
Shutter Island,6507,"Mystery, Thriller","Police Mysteries,20th Century Period Pieces,Thrillers,Film Noir,Police Thrillers,Police Movies,Crime Thrillers,Mysteries,Psychological Thrillers,Movies Based on Books,Crime Films","English, German",Movie,3.5,R,8.2,68.0,63.0,2010-02-19
Siberia,6511,"Crime, Romance, Thriller","Thrillers,Crime Movies,Crime Thrillers,Gangster Films","English, Russian",Movie,1.5,R,4.3,12.0,34.0,2018-07-13
Sicario,6512,"Action, Crime, Drama, Mystery, Thriller","Gangster Movies,Action Thrillers,Police Movies,Dramas,Police Action & Adventure,Crime Dramas,Police Dramas,Action & Adventure,Crime Action & Adventure,Crime Films,US Movies","English, Spanish",Movie,4.2,R,7.6,92.0,82.0,2015-10-02
Sicario: Day of the Soldado,6513,"Action, Adventure, Crime, Drama, Mystery, Thriller","Dramas,Crime Dramas,Crime Action & Adventure,Action Thrillers,Action & Adventure,Crime Movies,US Movies","English, Spanish, American Sign Language, Arabic, Somali",Movie,3.2,R,7.1,63.0,61.0,2018-06-29
Side Effects,6515,"Crime, Drama, Mystery, Thriller","Thrillers,Crime Thrillers,Mysteries,Psychological Thrillers,Dramas,Crime Movies,Crime Dramas","English, French",Movie,3.8,R,7.1,81.0,75.0,2013-02-08
Sideways,6516,"Comedy, Drama, Romance","Independent Dramas,Romantic Dramas,Dramas,Independent Films,Award-winning Movies,Academy Award-Winning Films,BAFTA Award-Winning Films,Romantic Comedies,Independent Comedies,Dramas based on a book,Comedies,Golden Globe Award-winning Films,Romantic Films,Dark Comedies,Movies Based on Books,Romantic Favorites,US Movies","English, Armenian, French",Movie,4.4,R,7.5,97.0,94.0,2005-01-21
Sierra Burgess Is A Loser,6518,"Comedy, Drama, Romance","Romantic Movies,Romantic Comedies,Comedies",English,Movie,3.0,PG-13,5.8,61.0,60.0,2018-09-07
Silence,6521,"Drama, History","Dramas,Dramas based on contemporary literature,Dramas based on a book,Movies Based on Books,Period Pieces,Historical Dramas","English, Japanese, Latin",Movie,3.9,R,7.2,83.0,79.0,2017-01-13
Silence of the Lambs,6522,"Crime, Drama, Thriller","Crime Films,Thrillers,Award-winning Movies,Academy Award-Winning Films,BAFTA Award-Winning Films,Golden Globe Award-winning Films,Crime Thrillers,Films Based on Books,Classic Films,Classic Thrillers,Horror Films,Mysteries,Classic Horror Films","English, Latin",Movie,4.5,R,8.6,96.0,85.0,1991-02-14
Silent Hill,6524,"Action, Adventure, Fantasy, Horror, Mystery","Horror Films,Mysteries,Supernatural Horror Movies",English,Movie,2.1,R,6.5,31.0,31.0,2006-04-21
