Key,Hidden_Gem_Score,IMDb_Score,Rotten_Tomatoes_Score,Metacritic_Score,Title,Release Date,Box_Office_Earnings
525,26.0,61.0,44.0,50.0,American Ultra,2015-08-21,14440985.0
527,27.0,63.0,54.0,43.0,American Wedding,2003-08-01,104565114.0
531,20.0,48.0,30.0,42.0,Amityville: The Awakening,2017-10-12,742.0
532,43.0,78.0,95.0,85.0,Amy,2015-07-03,8413144.0
539,54.0,58.0,52.0,54.0,An Evening with Beverly Luff Linn,2018-10-19,6701.0
541,47.0,64.0,79.0,68.0,An Inconvenient Sequel: Truth to Power,2017-08-04,3496795.0
544,37.0,70.0,79.0,75.0,An Officer and a Gentleman,1982-08-13,129795554.0
549,20.0,48.0,37.0,37.0,Anaconda,1997-04-11,65885767.0
550,19.0,47.0,26.0,40.0,Anacondas: The Hunt for the Blood Orchid,2004-08-27,32238923.0
553,36.0,72.0,86.0,61.0,Anastasia,1997-11-21,58406347.0
555,25.0,61.0,58.0,33.0,Anatomy,2000-02-03,9660.0
558,33.0,63.0,75.0,61.0,Anchorman 2: The Legend Continues,2013-12-18,127352707.0
559,34.0,72.0,66.0,63.0,Anchorman: The Legend of Ron Burgundy,2004-07-09,85288303.0
562,19.0,58.0,18.0,38.0,And So It Goes,2014-07-25,15160801.0
572,25.0,64.0,38.0,45.0,Angel Has Fallen,2019-08-23,69030436.0
573,35.0,73.0,79.0,61.0,Angel Heart,1987-03-06,17185632.0
578,25.0,67.0,37.0,48.0,Angels and Demons,2009-05-15,133375846.0
581,26.0,63.0,42.0,52.0,Anger Management,2003-04-11,135645823.0
586,41.0,75.0,96.0,77.0,Animal Crackers,1930-09-06,910015.0
592,23.0,66.0,33.0,40.0,Anna,2019-06-21,7743794.0
593,33.0,60.0,77.0,63.0,Anna and the Apocalypse,2018-11-30,545597.0
594,32.0,66.0,63.0,63.0,Anna Karenina,2012-09-07,12816367.0
595,20.0,54.0,29.0,37.0,Annabelle,2014-10-03,84273813.0
596,29.0,59.0,65.0,53.0,Annabelle Comes Home,2019-06-26,74152591.0
597,33.0,65.0,71.0,62.0,Annabelle: Creation,2017-08-11,102092201.0
599,19.0,53.0,28.0,33.0,Annie,2014-12-19,85911262.0
600,27.0,66.0,57.0,39.0,Annie,1982-06-18,57059003.0
601,39.0,68.0,88.0,79.0,Annihilation,2018-02-23,32732301.0
607,17.0,59.0,21.0,23.0,Another 48 Hrs.,1990-06-08,80818974.0
614,36.0,73.0,82.0,64.0,Ant-Man,2015-07-17,180202163.0
615,29.0,69.0,52.0,52.0,Any Given Sunday,1999-12-22,75530832.0
620,46.0,84.0,98.0,94.0,Apocalypse Now Redux,1979-08-15,83471511.0
621,45.0,82.0,99.0,88.0,Apollo 11,2019-03-01,9039891.0
622,42.0,76.0,96.0,77.0,Apollo 13,1995-06-30,173837933.0
623,17.0,52.0,23.0,24.0,Apollo 18,2011-09-02,17687709.0
627,29.0,67.0,53.0,51.0,Apt Pupil,1998-10-23,8863193.0
628,31.0,69.0,65.0,55.0,Aquaman,2018-12-21,335061807.0
629,26.0,53.0,51.0,51.0,Aquamarine,2006-03-03,18597342.0
630,43.0,75.0,97.0,88.0,Aquarius,2016-09-01,285930.0
639,14.0,43.0,8.0,36.0,Are We Done Yet?,2007-04-04,49662533.0
641,14.0,47.0,12.0,27.0,Are We There Yet?,2005-01-21,82674398.0
644,14.0,42.0,14.0,30.0,Area 51,2015-05-15,7556.0
646,43.0,77.0,96.0,86.0,Argo,2012-10-12,136025503.0
654,43.0,75.0,91.0,72.0,Armadillo,2010-05-27,14566.0
658,31.0,71.0,61.0,57.0,Arms and the Dudes,2016-08-19,43034523.0
661,23.0,59.0,32.0,49.0,Around the World in 80 Days,2004-06-16,24008137.0
664,42.0,79.0,94.0,81.0,Arrival,2016-11-11,100546139.0
667,20.0,57.0,26.0,36.0,Arthur,2011-04-08,33035397.0
668,20.0,60.0,22.0,39.0,Arthur and the Invisibles,2007-01-12,15132763.0
669,39.0,71.0,92.0,69.0,Arthur Christmas,2011-11-23,46462469.0
673,21.0,62.0,26.0,38.0,"As Above, So Below",2014-08-29,21321100.0
675,38.0,77.0,85.0,67.0,As Good as It Gets,1997-12-25,148478011.0
685,27.0,64.0,52.0,46.0,Ashby,2015-09-25,4631.0
687,85.0,76.0,92.0,68.0,Ask Dr. Ruth,2019-05-03,297195.0
696,31.0,59.0,74.0,56.0,Assassination Nation,2018-09-21,2005142.0
698,19.0,57.0,18.0,36.0,Assassins Creed,2016-12-21,54647948.0
699,29.0,63.0,59.0,54.0,Assault on Precinct 13,2005-01-19,20040895.0
708,28.0,63.0,50.0,53.0,Astro Boy,2009-10-23,19551067.0
709,28.0,63.0,50.0,53.0,Astro Boy,2009-10-23,19551067.0
710,74.0,66.0,82.0,64.0,Asura: The City of Madness,2016-10-14,175702.0
722,16.0,47.0,12.0,34.0,ATM,2012-03-02,3010.0
723,35.0,67.0,78.0,63.0,Atomic Blonde,2017-07-28,51687870.0
724,41.0,78.0,83.0,85.0,Atonement,2008-01-11,50927067.0
734,25.0,75.0,37.0,38.0,August Rush,2007-11-21,31664162.0
735,33.0,72.0,67.0,58.0,August: Osage County,2014-01-10,37738810.0
737,76.0,66.0,77.0,63.0,Aurora,2011-06-29,5677.0
740,29.0,62.0,53.0,62.0,Austin Powers in Goldmember,2002-07-26,213307889.0
741,32.0,70.0,71.0,51.0,Austin Powers: International Man of Mystery,1997-05-02,53883989.0
742,29.0,66.0,52.0,59.0,Austin Powers: The Spy Who Shagged Me,1999-06-11,206040086.0
743,19.0,57.0,24.0,33.0,Autobahn,2017-02-24,2280004.0
744,37.0,68.0,87.0,65.0,Autopsy of Jane Doe,2016-12-21,10474.0
745,17.0,57.0,19.0,24.0,Autumn in New York,2000-08-11,37761915.0
746,81.0,75.0,97.0,68.0,Autumn Spring,2001-09-27,96269.0
753,40.0,80.0,91.0,69.0,Avengers Assemble,2012-05-04,623357910.0
754,36.0,73.0,75.0,66.0,Avengers: Age of Ultron,2015-05-01,459005868.0
756,40.0,78.0,88.0,74.0,Awakenings,1991-01-11,52096475.0
781,41.0,68.0,97.0,83.0,Babe,1995-08-04,63658910.0
782,35.0,74.0,69.0,69.0,Babel,2006-11-10,34302837.0
783,35.0,74.0,69.0,69.0,Babel,2006-11-10,34302837.0
784,49.0,71.0,67.0,63.0,Babies,2010-05-07,7320323.0
787,32.0,64.0,71.0,55.0,Baby Boy,2001-06-27,28734552.0
788,42.0,76.0,92.0,86.0,Baby Driver,2017-06-28,107825862.0
789,6.0,27.0,2.0,6.0,Baby Geniuses,1999-03-12,27250736.0
794,42.0,72.0,94.0,77.0,Babyteeth,2020-06-19,4507.0
796,27.0,53.0,56.0,53.0,Bachelorette,2012-09-06,447954.0
800,45.0,85.0,96.0,87.0,Back to the Future,1985-07-03,211406762.0
801,34.0,78.0,66.0,57.0,Back to the Future Part II,1989-11-22,119000002.0
802,35.0,74.0,80.0,55.0,Back to the Future Part III,1990-05-25,88277583.0
803,30.0,67.0,74.0,38.0,Backdraft,1991-05-24,77868585.0
810,25.0,69.0,42.0,41.0,Bad Boys,1995-04-07,65807024.0
811,34.0,66.0,77.0,59.0,Bad Boys for Life,2020-01-17,206305244.0
812,21.0,66.0,23.0,38.0,Bad Boys II,2003-07-18,138608444.0
814,41.0,74.0,88.0,81.0,Bad Education,2005-02-11,5284284.0
820,30.0,62.0,58.0,60.0,Bad Moms,2016-07-29,113257297.0
822,27.0,65.0,53.0,42.0,Bad Samaritan,2018-05-04,3435047.0
823,36.0,70.0,78.0,70.0,Bad Santa,2003-11-26,60060328.0
824,20.0,56.0,24.0,38.0,Bad Santa 2,2016-11-23,17782178.0
826,25.0,56.0,45.0,47.0,Bad Teacher,2011-06-24,100292856.0
828,20.0,58.0,26.0,39.0,Bait,2000-09-15,15325127.0
848,35.0,63.0,82.0,66.0,Bandslam,2009-08-14,5210988.0
850,14.0,54.0,8.0,24.0,Bangkok Dangerous,2008-09-05,15298133.0
856,17.0,33.0,27.0,40.0,Barb Wire,1996-05-03,3793614.0
868,17.0,66.0,17.0,22.0,Barefoot,2014-09-04,15071.0
870,21.0,54.0,26.0,44.0,Barely Lethal,2015-04-30,6075.0
872,20.0,56.0,22.0,42.0,Barnyard,2006-08-04,72637803.0
874,27.0,70.0,54.0,41.0,Basic Instinct,1992-03-20,117727224.0
880,36.0,75.0,71.0,69.0,Batman,1989-06-23,251348343.0
881,39.0,82.0,84.0,70.0,Batman Begins,2005-06-15,206852432.0
882,24.0,54.0,38.0,51.0,Batman Forever,1995-06-16,184069126.0
884,36.0,70.0,80.0,68.0,Batman Returns,1992-06-19,162902340.0
885,23.0,64.0,28.0,44.0,Batman v Superman: Dawn of Justice,2016-03-25,330360194.0
890,38.0,67.0,85.0,73.0,Battle of the Sexes,2017-09-29,12638526.0
893,6.0,25.0,3.0,9.0,Battlefield Earth,2000-05-12,21471685.0
898,22.0,58.0,34.0,41.0,Battleship,2012-05-18,65422625.0
901,74.0,73.0,86.0,76.0,Bay of Angels,1963-03-01,85840.0
903,18.0,55.0,17.0,37.0,Baywatch,2017-05-25,58060186.0
906,80.0,70.0,90.0,67.0,Be with Me,2005-09-08,1365.0
