Key,Hidden Gem Score,IMDb Score,Rotten Tomatoes Score,Metacritic Score
1408,2.1,6.0,22.0,43.0
1409,4.2,8.1,96.0,75.0
1412,3.6,7.1,80.0,65.0
1416,2.5,5.1,54.0,47.0
1417,1.4,4.3,13.0,30.0
1419,1.2,3.4,9.0,27.0
1422,3.3,6.6,71.0,59.0
1423,1.6,4.4,11.0,38.0
1427,3.0,6.5,55.0,60.0
1429,2.7,6.7,42.0,52.0
1430,3.1,6.4,61.0,62.0
1431,4.0,6.3,92.0,82.0
1438,3.0,6.3,77.0,42.0
1446,3.5,6.4,81.0,67.0
1448,2.3,6.8,32.0,41.0
1452,3.7,6.6,83.0,72.0
1453,2.1,6.4,28.0,37.0
1454,3.6,7.0,82.0,67.0
1456,2.3,4.9,42.0,48.0
1459,3.5,6.3,78.0,68.0
1464,8.6,7.8,95.0,68.0
1472,3.8,7.3,87.0,68.0
1474,3.8,7.3,87.0,68.0
1475,3.8,7.3,87.0,68.0
1486,2.4,5.7,36.0,48.0
1490,2.2,6.5,27.0,41.0
1493,4.2,7.9,92.0,84.0
1498,5.1,7.4,92.0,77.0
1503,3.5,7.0,79.0,64.0
1504,1.9,6.1,25.0,29.0
1505,1.8,6.0,18.0,28.0
1507,2.7,6.3,51.0,48.0
1514,3.2,6.7,69.0,57.0
1518,3.2,7.6,68.0,49.0
1519,1.4,5.4,5.0,22.0
1521,3.7,7.0,85.0,69.0
1524,2.6,6.1,49.0,44.0
1530,4.2,8.5,90.0,80.0
1534,2.3,5.8,38.0,43.0
1535,7.9,6.2,81.0,66.0
1541,4.7,8.5,98.0,99.0
1545,3.5,7.2,74.0,63.0
1546,6.9,5.5,59.0,55.0
1549,2.7,6.4,49.0,46.0
1551,6.5,7.0,40.0,55.0
1555,5.8,6.7,52.0,43.0
1556,6.6,7.5,93.0,78.0
1557,3.3,6.9,68.0,59.0
1558,2.1,5.8,27.0,39.0
1559,3.3,6.6,75.0,49.0
1563,3.7,6.9,80.0,74.0
1566,2.4,6.4,34.0,45.0
1567,3.4,7.0,68.0,67.0
1568,8.2,7.5,80.0,57.0
1571,4.3,7.6,94.0,90.0
1577,3.4,7.2,68.0,65.0
1580,3.2,7.4,66.0,55.0
1581,3.7,6.9,86.0,66.0
1582,3.2,6.4,71.0,59.0
1583,3.5,7.0,78.0,64.0
1584,2.4,5.7,44.0,42.0
1588,3.2,7.3,64.0,57.0
1590,1.6,5.8,14.0,25.0
1603,3.5,7.1,74.0,66.0
1604,3.1,6.2,69.0,57.0
1614,3.9,7.5,86.0,71.0
1615,1.7,6.8,14.0,23.0
1618,2.3,6.4,27.0,45.0
1620,3.6,6.2,86.0,70.0
1621,3.5,6.2,81.0,70.0
1622,4.3,7.2,97.0,89.0
1624,3.7,5.7,62.0,46.0
1630,7.2,6.0,68.0,65.0
1633,6.3,7.2,89.0,81.0
1634,3.1,7.0,67.0,47.0
1635,6.0,6.7,40.0,36.0
1638,1.9,5.2,25.0,36.0
1642,3.1,7.2,59.0,55.0
1643,5.7,5.7,75.0,56.0
1644,2.3,5.3,35.0,49.0
1651,1.6,5.3,22.0,22.0
1652,3.6,7.3,80.0,65.0
1661,2.9,6.7,57.0,49.0
1662,2.8,7.0,46.0,50.0
1663,3.7,6.7,85.0,70.0
1666,2.8,6.5,51.0,51.0
1667,2.6,5.3,53.0,48.0
1670,3.4,7.2,68.0,61.0
1674,4.5,8.1,100.0,92.0
1675,2.5,5.7,45.0,49.0
1676,3.5,6.3,81.0,66.0
1678,1.8,5.6,19.0,31.0
