Key,Genre,Tags,Languages,Series or Movie,Hidden Gem Score,View Rating,IMDb Score,Rotten Tomatoes Score,Metacritic Score,Release Date
2938,"Crime, Drama","Crime Films,Thrillers,Award-winning Movies,Italian Films,International Movies,Crime Thrillers,Italian Dramas,Dramas,Italian Thrillers,Crime Dramas,Movies Based on Books,Gangster Movies","Neapolitan, Italian, Mandarin, French",Movie,4.1,Not Rated,7.0,91.0,87.0,2009-04-10
2939,"Action, Adventure, Mystery, Thriller","Thrillers,Mysteries,Psychological Thrillers",English,Movie,1.8,PG-13,5.9,12.0,36.0,2012-02-24
2940,"Crime, Drama, Mystery, Thriller","Police Mysteries,Thrillers,Film Noir,Police Thrillers,Police Movies,Mysteries,Crime Thrillers,Films Based on Books",English,Movie,4.0,R,7.6,94.0,72.0,2007-10-19
2941,"Drama, Mystery, Thriller","Thrillers,Crime Thrillers,Mysteries,Psychological Thrillers,Films Based on Books,Crime Movies,US Movies",English,Movie,4.1,R,8.1,87.0,79.0,2014-10-03
2944,"Drama, History, Romance, War","Romantic Favorites,Romantic Dramas,Dramas,Romantic Movies,Dramas based on classic literature,Dramas based on Books,Movies Based on Books,Period Pieces,Historical Dramas",English,Movie,4.5,Passed,8.1,91.0,97.0,1940-01-17
2946,"Adventure, Comedy","Comedies,Comedy Blockbusters,US Movies",English,Movie,3.5,R,6.7,80.0,60.0,2019-08-16
2947,"Comedy, Family","Family Features,Family Comedies,African-American Comedies,Children & Family Films,Films for ages 8 to 10,Comedies,Teen Comedies,Films for ages 11 to 12,Teen Films",English,Movie,2.2,PG,5.7,32.0,41.0,1997-07-25
2950,"Documentary, Comedy","Social & Cultural Documentaries,Documentaries",English,Movie,6.1,PG-13,6.9,95.0,72.0,2009-10-23
2952,"Comedy, Romance","Romantic Comedies,Comedies,Romantic Films,Romantic Favourites,Late Night Comedies,Films Based on Books,Steamy Romance",English,Movie,1.3,R,5.6,5.0,19.0,2007-09-21
2955,"Biography, Drama, History","Dramas,Dramas based on real life",English,Movie,4.1,PG,7.4,93.0,80.0,2005-11-04
2956,"Crime, Drama, Thriller","Independent Thrillers,Dramas,Crime Films,Independent Films,Independent Dramas,Heist Films,Crime Dramas,Thrillers,Crime Thrillers",English,Movie,4.1,R,7.4,92.0,80.0,2017-08-25
2957,"Drama, Romance","Independent Dramas,Dramas,Independent Films,Tearjerkers",English,Movie,4.2,R,8.3,98.0,70.0,1998-01-09
2959,"Biography, Crime, Drama","Crime Films,Dramas,Award-winning Movies,Academy Award-Winning Films,BAFTA Award-Winning Films,Dramas based on a book,Dramas based on real life,Crime Dramas,Movies Based on Real Life,Gangster Movies,Movies Based on Books,Classic Dramas,Classic Movies","English, Italian",Movie,4.5,R,8.7,96.0,90.0,1990-09-21
